rank,face,source,score,dW,dWmax,dC,dCmax,wght,stem_cap,track_em,O_cap,E_over_O,kerned_pairs
-,Friz Quadrata Std,local (not redistributed),,,,,,,0.1550,0.0200,1.1135,0.6302,0
1,Prompt,OFL google/fonts,0.0753,0.0455,0.1652,0.0298,0.0589,,0.1474,-0.0186,1.0529,0.6264,5
2,Plus Jakarta Sans,OFL google/fonts,0.0798,0.0613,0.1567,0.0185,0.0555,589,0.1549,-0.0238,1.0292,0.6389,0
3,Gantari,OFL google/fonts,0.0852,0.0632,0.2068,0.0220,0.0468,514,0.1542,-0.0736,1.0243,0.6785,2
4,Mitr,OFL google/fonts,0.0938,0.0687,0.2016,0.0251,0.0620,,0.1882,-0.0336,1.0059,0.7135,4
5,Arial,system,0.0959,0.0605,0.1572,0.0353,0.0763,,0.1323,-0.0817,0.9563,0.7803,0
6,Kanit,OFL google/fonts,0.0985,0.0749,0.1663,0.0236,0.0536,,0.1693,-0.0340,0.9472,0.7361,4
7,Geologica,OFL google/fonts,0.0994,0.0627,0.1549,0.0367,0.1065,381,0.1551,-0.0716,1.0512,0.6155,7
8,Bellota,OFL google/fonts,0.1002,0.0600,0.1400,0.0402,0.0823,,0.0874,-0.0577,0.9785,0.8111,6
9,Metrophobic,OFL google/fonts,0.1040,0.0734,0.2120,0.0306,0.0828,,0.1207,-0.0536,0.9015,0.7413,5
10,Outfit,OFL google/fonts,0.1072,0.0645,0.1658,0.0427,0.0900,468,0.1552,-0.0253,1.0154,0.6604,6
11,Libre Franklin,OFL google/fonts,0.1083,0.0719,0.2441,0.0364,0.1000,470,0.1525,-0.0279,0.8694,0.7720,5
12,Microsoft Sans Serif,system,0.1090,0.0674,0.1565,0.0416,0.0819,,0.1330,-0.0814,0.9570,0.7790,0
13,Instrument Sans,OFL google/fonts,0.1133,0.0622,0.1311,0.0511,0.1071,523,0.1549,-0.0393,0.9824,0.7127,6
14,Lato,OFL google/fonts,0.1162,0.0761,0.1601,0.0401,0.0784,,0.1354,0.0010,0.9860,0.6256,4
15,Montserrat,OFL google/fonts,0.1177,0.0712,0.2081,0.0466,0.1257,527,0.1537,-0.0979,1.0670,0.6863,4
16,Mulish,OFL google/fonts,0.1184,0.0645,0.1712,0.0539,0.1021,619,0.1541,-0.0352,0.9423,0.6984,5
17,Cantarell,OFL google/fonts,0.1200,0.0881,0.1806,0.0320,0.0704,,0.1196,-0.0764,0.9402,0.6235,0
18,Albert Sans,OFL google/fonts,0.1213,0.0716,0.1589,0.0497,0.1230,548,0.1553,-0.0665,1.0112,0.6664,1
19,Onest,OFL google/fonts,0.1229,0.0766,0.2348,0.0463,0.1150,521,0.1552,-0.0700,0.9608,0.7200,2
20,Nunito Sans,OFL google/fonts,0.1233,0.0670,0.1713,0.0563,0.1094,622,0.1540,-0.0278,0.9422,0.6908,5
21,Commissioner,OFL google/fonts,0.1234,0.0670,0.1334,0.0564,0.1512,459,0.1518,-0.0246,1.0116,0.6259,1
22,Corbel,system,0.1240,0.0851,0.1748,0.0389,0.0692,,0.1218,-0.0167,0.9387,0.6760,1
23,Bricolage Grotesque,OFL google/fonts,0.1284,0.0744,0.2271,0.0540,0.1080,453,0.1550,0.0202,0.8864,0.7722,5
24,Franklin Gothic Medium,system,0.1297,0.0970,0.2630,0.0327,0.0463,,0.1802,-0.0016,0.8505,0.7640,0
25,Cabin,OFL google/fonts,0.1315,0.0848,0.1582,0.0467,0.1125,516,0.1573,0.0173,0.9857,0.6465,1
26,Noto Sans,OFL google/fonts,0.1317,0.1004,0.1804,0.0313,0.0914,513,0.1549,0.0188,0.9331,0.6050,0
27,Raleway,OFL google/fonts,0.1327,0.0699,0.1617,0.0628,0.1270,577,0.1513,-0.0413,0.9544,0.7172,3
28,Tenor Sans,OFL google/fonts,0.1327,0.0740,0.1527,0.0586,0.1137,,0.1300,-0.0933,1.0929,0.5908,0
29,Open Sans,OFL google/fonts,0.1327,0.1021,0.1818,0.0306,0.0894,556,0.1536,0.0192,0.9317,0.6056,0
30,Questrial,OFL google/fonts,0.1328,0.0867,0.2529,0.0461,0.0675,,0.1133,-0.0914,1.0151,0.7247,1
31,Arimo,OFL google/fonts,0.1334,0.0888,0.2128,0.0446,0.0817,479,0.1550,-0.1106,0.9969,0.7976,0
32,Candara,system,0.1352,0.0976,0.1742,0.0376,0.1277,,0.1237,-0.0148,0.9393,0.6639,0
33,IBM Plex Sans,OFL google/fonts,0.1354,0.1021,0.2513,0.0333,0.0818,507,0.1638,-0.0336,0.8622,0.7442,3
34,Archivo,OFL google/fonts,0.1371,0.0918,0.2511,0.0452,0.0743,464,0.1539,-0.1172,1.0017,0.7803,2
35,Josefin Sans,OFL google/fonts,0.1375,0.0879,0.1803,0.0497,0.0995,500,0.1469,-0.0204,1.0221,0.6613,1
36,Amiko,OFL google/fonts,0.1378,0.0962,0.1968,0.0415,0.0706,,0.1264,-0.0807,0.9167,0.6505,0
37,Federo,OFL google/fonts,0.1394,0.0865,0.1802,0.0529,0.1372,,0.1479,0.0015,1.0679,0.5730,2
38,Encode Sans,OFL google/fonts,0.1411,0.1034,0.2372,0.0377,0.0740,531,0.1550,0.0397,0.8763,0.7530,4
39,Philosopher,OFL google/fonts,0.1413,0.0733,0.1741,0.0680,0.1721,,0.1364,-0.0230,0.9394,0.8790,0
40,DM Sans,OFL google/fonts,0.1415,0.0886,0.1960,0.0528,0.1457,543,0.1551,-0.0435,0.9350,0.6819,2
41,Jost,OFL google/fonts,0.1420,0.0881,0.1945,0.0540,0.1568,458,0.1504,0.0250,1.0288,0.5766,1
42,Schibsted Grotesk,OFL google/fonts,0.1432,0.0892,0.2460,0.0540,0.1009,504,0.1505,-0.0627,0.9763,0.6986,7
43,Golos Text,OFL google/fonts,0.1449,0.0974,0.2216,0.0476,0.0897,451,0.1532,-0.0711,0.9003,0.7302,4
44,Carlito,OFL google/fonts,0.1455,0.1133,0.1911,0.0322,0.0519,,0.1385,0.0407,0.9224,0.6345,5
45,Overpass,OFL google/fonts,0.1455,0.1122,0.2532,0.0333,0.1004,552,0.1551,-0.0418,0.8603,0.7743,5
46,Familjen Grotesk,OFL google/fonts,0.1472,0.0778,0.2000,0.0694,0.1605,438,0.1573,-0.0006,0.9135,0.7188,3
47,Lexend,OFL google/fonts,0.1475,0.1015,0.3687,0.0460,0.1131,420,0.1606,-0.0793,0.9840,0.6462,2
48,Wix Madefor Display,OFL google/fonts,0.1477,0.0852,0.3704,0.0625,0.1666,578,0.1550,-0.1033,1.0557,0.6498,4
49,Sora,OFL google/fonts,0.1482,0.0986,0.2985,0.0496,0.1430,469,0.1550,-0.0883,1.0409,0.5767,4
50,Chivo,OFL google/fonts,0.1494,0.0977,0.2781,0.0517,0.1015,399,0.1550,-0.0597,0.8354,0.8042,2
51,Source Sans 3,OFL google/fonts,0.1502,0.1137,0.2420,0.0366,0.0753,520,0.1576,-0.0072,0.8715,0.6966,3
52,Yantramanav,OFL google/fonts,0.1505,0.1099,0.3104,0.0406,0.0865,,0.1359,-0.0260,0.8031,0.8260,2
53,Anek Latin,OFL google/fonts,0.1506,0.1200,0.3221,0.0306,0.0586,478,0.1513,0.0025,0.7914,0.8057,4
54,Sarala,OFL google/fonts,0.1510,0.1119,0.2095,0.0391,0.0829,,0.1359,0.0332,0.9083,0.6720,2
55,Figtree,OFL google/fonts,0.1516,0.0890,0.2343,0.0626,0.1583,557,0.1550,-0.0521,0.9989,0.6145,0
